fy,reference_file,sheet,row,cc,fx_rate,account,kind,scope,description,monthly_values,monthly_formulas,source_candidate_status,selection_l1_delta_vnd
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),53,1412000004,25390,9114120007,interest,fixed_assets,減価償却費（製）　車輌運搬具Mua xe nâng điện NLP (sơn),"{""202504"": 103591.0, ""202505"": 80740.0, ""202506"": 80740.0, ""202507"": 80740.0, ""202508"": 80740.0, ""202509"": 80740.0, ""202510"": 80740.0, ""202511"": 80740.0, ""202512"": 80740.0, ""202601"": 80740.0, ""202602"": 80740.0, ""202603"": 80740.0}","{""202504"": ""103591"", ""202505"": ""80740"", ""202506"": ""80740"", ""202507"": ""80740"", ""202508"": ""80740"", ""202509"": ""80740"", ""202510"": ""80740"", ""202511"": ""80740"", ""202512"": ""80740"", ""202601"": ""80740"", ""202602"": ""80740"", ""202603"": ""80740""}",SELECTED_SOURCE_DERIVED_CANDIDATE,32
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),54,1412000004,25390,9114120007,interest,fixed_assets,金型金利 (N-2),"{""202504"": 83895923.0, ""202505"": 34057130.0, ""202506"": 33318789.0, ""202507"": 31605726.0, ""202508"": 29373691.0, ""202509"": 25577886.0, ""202510"": 23494129.0, ""202511"": 20985089.0, ""202512"": 19808262.0, ""202601"": 18951096.0, ""202602"": 14634796.0, ""202603"": 14201643.0}","{""202504"": ""83895923"", ""202505"": ""34057130"", ""202506"": ""33318789"", ""202507"": ""31605726"", ""202508"": ""29373691"", ""202509"": ""25577886"", ""202510"": ""23494129"", ""202511"": ""20985089"", ""202512"": ""19808262"", ""202601"": ""18951096"", ""202602"": ""14634796"", ""202603"": ""14201643""}",SELECTED_SOURCE_DERIVED_CANDIDATE,32
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),55,1412000004,25390,9114120007,interest,fixed_assets,工具器具備品 金利,"{""202504"": 13676070.0, ""202505"": 8509966.0, ""202506"": 8493463.0, ""202507"": 8452331.0, ""202508"": 8452331.0, ""202509"": 8452331.0, ""202510"": 8452331.0, ""202511"": 8452331.0, ""202512"": 8452331.0, ""202601"": 8452331.0, ""202602"": 8452331.0, ""202603"": 8398250.0}","{""202504"": ""13676070"", ""202505"": ""8509966"", ""202506"": ""8493463"", ""202507"": ""8452331"", ""202508"": ""8452331"", ""202509"": ""8452331"", ""202510"": ""8452331"", ""202511"": ""8452331"", ""202512"": ""8452331"", ""202601"": ""8452331"", ""202602"": ""8452331"", ""202603"": ""8398250""}",SELECTED_SOURCE_DERIVED_CANDIDATE,32
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),56,1412000004,25390,9114120007,interest,fixed_assets,その他金利,"{""202504"": 2038055.0, ""202505"": 1415493.0, ""202506"": 1415493.0, ""202507"": 1415493.0, ""202508"": 1401528.0, ""202509"": 1401528.0, ""202510"": 1401528.0, ""202511"": 1401528.0, ""202512"": 1401528.0, ""202601"": 1401528.0, ""202602"": 1401528.0, ""202603"": 1401528.0}","{""202504"": ""2038055"", ""202505"": ""1415493"", ""202506"": ""1415493"", ""202507"": ""1415493"", ""202508"": ""1401528"", ""202509"": ""1401528"", ""202510"": ""1401528"", ""202511"": ""1401528"", ""202512"": ""1401528"", ""202601"": ""1401528"", ""202602"": ""1401528"", ""202603"": ""1401528""}",SELECTED_SOURCE_DERIVED_CANDIDATE,32
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),57,1412000004,25390,9114120007,interest,fixed_assets,(Tháng n-1)金型金利　Mr Hajimoto ,"{""202504"": 8339701.0, ""202505"": 11995861.0, ""202506"": 15652021.0, ""202507"": 19308181.0, ""202508"": 88226797.0, ""202509"": 154068754.0, ""202510"": 219910712.0, ""202511"": 307080878.0, ""202512"": 394251045.0, ""202601"": 481421212.0, ""202602"": 560973769.0, ""202603"": 640526327.0}","{""202504"": ""=+ROUND(F49*24*0.003,0)"", ""202505"": ""=+ROUND(G49*24*0.003,0)"", ""202506"": ""=+ROUND(H49*24*0.003,0)"", ""202507"": ""=+ROUND(I49*24*0.003,0)"", ""202508"": ""=+ROUND(J49*24*0.003,0)"", ""202509"": ""=+ROUND(K49*24*0.003,0)"", ""202510"": ""=+ROUND(L49*24*0.003,0)"", ""202511"": ""=+ROUND(M49*24*0.003,0)"", ""202512"": ""=+ROUND(N49*24*0.003,0)"", ""202601"": ""=+ROUND(O49*24*0.003,0)"", ""202602"": ""=+ROUND(P49*24*0.003,0)"", ""202603"": ""=+ROUND(Q49*24*0.003,0)""}",EXCLUDED_MANUAL_OR_OTHER_LAYER,32
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),58,1412000004,25390,9114120007,interest,fixed_assets,工具器具備品 （生産技術-Nakagawa),"{""202504"": null, ""202505"": null, ""202506"": null, ""202507"": null, ""202508"": null, ""202509"": null, ""202510"": null, ""202511"": null, ""202512"": null, ""202601"": null, ""202602"": null, ""202603"": null}","{""202504"": """", ""202505"": """", ""202506"": """", ""202507"": """", ""202508"": """", ""202509"": """", ""202510"": """", ""202511"": """", ""202512"": """", ""202601"": """", ""202602"": """", ""202603"": """"}",NO_MONTHLY_VALUE,
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),130,1412000004,25390,9114120007,interest,facility,固定資産金利 (建物),"{""202504"": 224039075.0, ""202505"": 213659389.0, ""202506"": 213684271.0, ""202507"": 217910691.0, ""202508"": 220150089.0, ""202509"": 227124468.0, ""202510"": 233359744.0, ""202511"": 233423727.0, ""202512"": 233471714.0, ""202601"": 232907294.0, ""202602"": 235164211.0, ""202603"": 232451544.0}","{""202504"": ""224039075"", ""202505"": ""213659389"", ""202506"": ""213684271"", ""202507"": ""217910691"", ""202508"": ""220150089"", ""202509"": ""227124468"", ""202510"": ""233359744"", ""202511"": ""233423727"", ""202512"": ""233471714"", ""202601"": ""232907294"", ""202602"": ""235164211"", ""202603"": ""232451544""}",FACILITY_EXCLUDED,
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),131,1412000004,25390,9114120007,interest,facility,固定資産金利 (土地),"{""202504"": 27701252.0, ""202505"": 27089861.0, ""202506"": 27092907.0, ""202507"": 27628890.0, ""202508"": 27912750.0, ""202509"": 28797084.0, ""202510"": 29587729.0, ""202511"": 29595854.0, ""202512"": 29601947.0, ""202601"": 29530347.0, ""202602"": 29816493.0, ""202603"": 29472458.0}","{""202504"": ""27701252"", ""202505"": ""27089861"", ""202506"": ""27092907"", ""202507"": ""27628890"", ""202508"": ""27912750"", ""202509"": ""28797084"", ""202510"": ""29587729"", ""202511"": ""29595854"", ""202512"": ""29601947"", ""202601"": ""29530347"", ""202602"": ""29816493"", ""202603"": ""29472458""}",FACILITY_EXCLUDED,
FY2026,reference_outputs\secondary\FY2026\02.KDTVN 機器製造2課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),42,1412000005,25390,5006016242,depreciation,fixed_assets,機械装置,"{""202504"": 159884639.0, ""202505"": 159884639.0, ""202506"": 159884639.0, ""202507"": 159884639.0, ""202508"": 159884639.0, ""202509"": 159884639.0, ""202510"": 159884639.0, ""202511"": 159884639.0, ""202512"": 159884639.0, ""202601"": 159884639.0, ""202602"": 159884639.0, ""202603"": 159884639.0}","{""202504"": ""159884639"", ""202505"": ""159884639"", ""202506"": ""159884639"", ""202507"": ""159884639"", ""202508"": ""159884639"", ""202509"": ""159884639"", ""202510"": ""159884639"", ""202511"": ""159884639"", ""202512"": ""159884639"", ""202601"": ""159884639"", ""202602"": ""159884639"", ""202603"": ""159884639""}",SELECTED_SOURCE_DERIVED_CANDIDATE,0
FY2026,reference_outputs\secondary\FY2026\02.KDTVN 機器製造2課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),43,1412000005,25390,5006016244,depreciation,fixed_assets,工具器具備品,"{""202504"": 1152575749.0, ""202505"": 1152575749.0, ""202506"": 1137314836.0, ""202507"": 1130547639.0, ""202508"": 1130316082.0, ""202509"": 1122134155.0, ""202510"": 1120870241.0, ""202511"": 1120834695.0, ""202512"": 1120834695.0, ""202601"": 1120834695.0, ""202602"": 1109983517.0, ""202603"": 1064541764.0}","{""202504"": ""1152575749"", ""202505"": ""1152575749"", ""202506"": ""1137314836"", ""202507"": ""1130547639"", ""202508"": ""1130316082"", ""202509"": ""1122134155"", ""202510"": ""1120870241"", ""202511"": ""1120834695"", ""202512"": ""1120834695"", ""202601"": ""1120834695"", ""202602"": ""1109983517"", ""202603"": ""1064541764""}",SELECTED_SOURCE_DERIVED_CANDIDATE,110
