cc_code,file,row,account_code,description,nonblank_months,formulas,values_vnd
1412000035,40.KDTVN 部品品質管理1課_MP FY2027_各予定(Ver01).xlsx,99,5004086291,制服：支給依頼者,12,"[365000, 365000, 365000, 365000, 365000, 365000, 365000, 365000, 365000, 365000, 365000, 365000]","[365000.0, 365000.0, 365000.0, 365000.0, 365000.0, 365000.0, 365000.0, 365000.0, 365000.0, 365000.0, 365000.0, 365000.0]"
1412000035,40.KDTVN 部品品質管理1課_MP FY2027_各予定(Ver01).xlsx,100,5004086291,"６月、新人２名の健康診断:166.250VND/人
6月，新人２名の制服:713.000VND/人",12,"[0, 0, 879250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 879250.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000016,42.KDTVN 生産技術1課_MP FY2027_各予定(Ver01).xlsx,84,5004086291,"áo dài tay 175,000 ",1,"[null, null, null, null, null, null, ""=175000*2"", null, null, null, null, null]","[null, null, null, null, null, null, 350000.0, null, null, null, null, null]"
1412000016,42.KDTVN 生産技術1課_MP FY2027_各予定(Ver01).xlsx,85,5004086291,"quần 制服ズボン  116,000VND",7,"[116000, ""=116000*2"", null, 116000, null, 116000, null, 116000, null, 116000, null, 116000]","[116000.0, 232000.0, null, 116000.0, null, 116000.0, null, 116000.0, null, 116000.0, null, 116000.0]"
1412000069,43.KDTVN 生産技術2課_MP FY2027_各予定(Ver01).xlsx,83,5004086291,"áo mùa hè 制服（夏） 165,000",6,"[null, ""=165000*2"", 165000, null, 165000, null, 165000, null, 165000, null, 165000, null]","[null, 330000.0, 165000.0, null, 165000.0, null, 165000.0, null, 165000.0, null, 165000.0, null]"
1412000069,43.KDTVN 生産技術2課_MP FY2027_各予定(Ver01).xlsx,84,5004086291,áo mùa đông 制服（冬） 175000,2,"[null, null, null, null, null, null, ""=2*175000"", null, 175000, null, null, null]","[null, null, null, null, null, null, 350000.0, null, 175000.0, null, null, null]"
1412000069,43.KDTVN 生産技術2課_MP FY2027_各予定(Ver01).xlsx,85,5004086291,"quần 制服ズボン  116,000",6,"[null, 116000, null, 116000, null, 116000, null, 116000, null, 116000, null, 116000]","[null, 116000.0, null, 116000.0, null, 116000.0, null, 116000.0, null, 116000.0, null, 116000.0]"
1412000070,44.KDTVN 第4資材課_MP FY2027_各予定(Ver01).xlsx,85,5004086291,"新入社員  制服（夏） Đồng phục ngắn tay (Hè) 165,000VND",0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000070,44.KDTVN 第4資材課_MP FY2027_各予定(Ver01).xlsx,86,5004086291,"新入社員  制服（冬） Đồng phục dài tay (Đông) 175000VND  , nv vào từ T5-T10 thì tiền đồng phục dài tay tính vào T10",0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000070,44.KDTVN 第4資材課_MP FY2027_各予定(Ver01).xlsx,87,5004086291,"新入社員  制服ズボン Quần 116,000 VND",0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
