cc_code,file,row,kind,category,account_code,description,reference_fx,formulas,values_vnd
1412000004,01.KDTVN 機器製造1課　_MP FY2027_各予定(Ver01).xlsx,58,interest,mold,9114120007,(Tháng n-1)金型金利　Mr Hajimoto ,26273.0,"[""=ROUND(F50*24*0.003,0)"", ""=ROUND(G50*24*0.003,0)"", ""=ROUND(H50*24*0.003,0)"", ""=ROUND(I50*24*0.003,0)"", ""=ROUND(J50*24*0.003,0)"", ""=ROUND(K50*24*0.003,0)"", ""=ROUND(L50*24*0.003,0)"", ""=ROUND(M50*24*0.003,0)"", ""=ROUND(N50*24*0.003,0)"", ""=ROUND(O50*24*0.003,0)"", ""=ROUND(P50*24*0.003,0)"", ""=ROUND(Q50*24*0.003,0)""]","[182387399.0, 186170711.0, 189954023.0, 193737335.0, 197898979.0, 201903614.0, 319888091.0, 366874934.0, 461609067.0, 486300852.0, 510241651.0, 567424520.0]"
1412000004,01.KDTVN 機器製造1課　_MP FY2027_各予定(Ver01).xlsx,133,interest,,9114120007,固定資産金利 (建物+土地),26273.0,"[249671268, 236812999, 232187112, 236280445, 241724211, 241721058, 236257588, 239553273, 240079521, 242989781, 256300209, 239246142]","[249671268.0, 236812999.0, 232187112.0, 236280445.0, 241724211.0, 241721058.0, 236257588.0, 239553273.0, 240079521.0, 242989781.0, 256300209.0, 239246142.0]"
1412000005,02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,42,depreciation,machinery_equipment,5006016242,機械装置,26273.0,"[165444234, 165444234, 165444234, 165444234, 165444234, 165444234, 165444234, 165444234, 148435356, 130940166, 130940166, 130940166]","[165444234.0, 165444234.0, 165444234.0, 165444234.0, 165444234.0, 165444234.0, 165444234.0, 165444234.0, 148435356.0, 130940166.0, 130940166.0, 130940166.0]"
1412000005,02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,43,depreciation,tools_furniture_fixtures,5006016244,工具器具備品,26273.0,"[928070867, 912851970, 844176187, 814377087, 803009023, 792371348, 604239853, 592018967, 566227814, 564235533, 547024878, 440365431]","[928070867.0, 912851970.0, 844176187.0, 814377087.0, 803009023.0, 792371348.0, 604239853.0, 592018967.0, 566227814.0, 564235533.0, 547024878.0, 440365431.0]"
1412000005,02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,44,depreciation,other_tangible_fixed_assets,5006016247,その 他 (Tn-2),26273.0,"[1898750, 1898750, 1898750, 1898750, 1898750, 1898750, 1898750, 1898750, 1898750, 1898750, 1898750, 1898750]","[1898750.0, 1898750.0, 1898750.0, 1898750.0, 1898750.0, 1898750.0, 1898750.0, 1898750.0, 1898750.0, 1898750.0, 1898750.0, 1898750.0]"
1412000005,02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,45,depreciation,tools_furniture_fixtures,5006016244,chuyển 1 AGV C1J từ kho sang CT2 sử dụng 170002329 ,26273.0,"[""=ROUND(97.69*26273,0)"", ""=ROUND(97.69*26273,0)"", ""=ROUND(97.69*26273,0)"", ""=ROUND(97.69*26273,0)"", ""=ROUND(97.69*26273,0)"", ""=ROUND(97.69*26273,0)"", ""=ROUND(97.69*26273,0)"", ""=ROUND(97.69*26273,0)"", ""=ROUND(97.69*26273,0)"", ""=ROUND(97.69*26273,0)"", ""=ROUND(97.69*26273,0)"", ""=ROUND(97.69*26273,0)""]","[2566609.0, 2566609.0, 2566609.0, 2566609.0, 2566609.0, 2566609.0, 2566609.0, 2566609.0, 2566609.0, 2566609.0, 2566609.0, 2566609.0]"
1412000005,02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,46,depreciation,mold,5005036246,(Tháng n)  FIX ASSETS ( Mr Hajimoto),26273.0,"[2105413128, 2472867306, 1489074821, 809917771, 979483713, 121985539, 100073857, 241606508, 32841250, 32841250, 32841250, 32841250]","[2105413128.0, 2472867306.0, 1489074821.0, 809917771.0, 979483713.0, 121985539.0, 100073857.0, 241606508.0, 32841250.0, 32841250.0, 32841250.0, 32841250.0]"
1412000005,02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,47,depreciation,mold,5005036246,(Tháng n-1) FIX ASSETS ( Mr Hajimoto),26273.0,"[""=ROUND(8135.96*26273,0)"", ""=F46+F47"", ""=G46+G47"", ""=H46+H47"", ""=I46+I47"", ""=J46+J47"", ""=K46+K47"", ""=L46+L47"", ""=M46+M47"", ""=N46+N47"", ""=O46+O47"", ""=P46+P47""]","[213756077.0, 2319169205.0, 4792036511.0, 6281111332.0, 7091029103.0, 8070512816.0, 8192498355.0, 8292572212.0, 8534178720.0, 8567019970.0, 8599861220.0, 8632702470.0]"
1412000005,02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,48,depreciation,mold,5005036246,(Tháng n-2) 金型償却費  (Ms Lan),26273.0,"[1004973778, 865754202, 748702732, 666737015, 418829190, 356296560, 316547613, 277811490, 269250696, 269250696, 269250696, 269250433]","[1004973778.0, 865754202.0, 748702732.0, 666737015.0, 418829190.0, 356296560.0, 316547613.0, 277811490.0, 269250696.0, 269250696.0, 269250696.0, 269250433.0]"
1412000005,02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,50,interest,machinery_equipment,9114120007,機械装置金利,26273.0,"[35351110, 29395283, 29395283, 29395283, 29395283, 29395283, 29395283, 29395283, 29395283, 28514612, 28514612, 28514612]","[35351110.0, 29395283.0, 29395283.0, 29395283.0, 29395283.0, 29395283.0, 29395283.0, 29395283.0, 29395283.0, 28514612.0, 28514612.0, 28514612.0]"
