cc_code,file,row,kind,category,account_code,description,reference_fx,formulas,values_vnd
1412000086,36.KDTVN 情報システム課_MP FY2027_各予定(Ver03).xlsx,222,interest,,9114120007,*施設課から振替 土地  Landing interest,26273.0,"[""=ROUND(40.04*$B$2,0)"", ""=ROUND(38.85*$B$2,0)"", ""=ROUND(41.53*$B$2,0)"", ""=ROUND(41.48*$B$2,0)"", ""=ROUND(41.46*$B$2,0)"", ""=ROUND(41.16*$B$2,0)"", ""=ROUND(41.14*$B$2,0)"", ""=ROUND(41.14*$B$2,0)"", ""=ROUND(41.25*$B$2,0)"", ""=ROUND(41.24*$B$2,0)"", ""=ROUND(41.14*$B$2,0)"", ""=ROUND(41.25*$B$2,0)""]","[1051971.0, 1020706.0, 1091118.0, 1089804.0, 1089279.0, 1081397.0, 1080871.0, 1080871.0, 1083761.0, 1083499.0, 1080871.0, 1083761.0]"
1412000086,36.KDTVN 情報システム課_MP FY2027_各予定(Ver03).xlsx,227,interest,,9114120007,*新規資産 ネットワーク機器の老朽化対応 金利 meraki (t6/2026),26273.0,"[0, 0, ""=ROUND($G$224*0.3%,0)"", 2402640, 2402640, 2402640, 2402640, 2402640, 2402640, 2402640, 2402640, 2402640]","[0.0, 0.0, 0.0, 2402640.0, 2402640.0, 2402640.0, 2402640.0, 2402640.0, 2402640.0, 2402640.0, 2402640.0, 2402640.0]"
1412000086,36.KDTVN 情報システム課_MP FY2027_各予定(Ver03).xlsx,228,interest,,9114120007,*新規資産 サーバの保守切れ対応　金利 HIC server(10/2026),26273.0,"[0, 0, 0, 0, 0, 0, 0, 49257702, 49257702, 49257702, 49257702, 49257702]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 49257702.0, 49257702.0, 49257702.0, 49257702.0, 49257702.0]"
1412000086,36.KDTVN 情報システム課_MP FY2027_各予定(Ver03).xlsx,229,interest,,9114120007,*新規資産 K棟4Fのネットワーク機器　金利,26273.0,"[0, 0, 0, 0, 0, 0, 0, ""=ROUND($L$226*0.3%,0)"", ""=ROUND($L$226*0.3%,0)"", ""=ROUND($L$226*0.3%,0)"", ""=ROUND($L$226*0.3%,0)"", ""=ROUND($L$226*0.3%,0)""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7663.0, 7663.0, 7663.0, 7663.0, 7663.0]"
1412000063,38.KDTVN トナー製造管理課　_MP FY2027_各予定(Ver01).xlsx,43,interest,,9114120007,Lãi suất nhà xưởng  建物金利,26273.0,"[""=ROUND(24.28*$B$2,0)"", ""=ROUND(22.05*$B$2,0)"", ""=ROUND(24.83*$B$2,0)"", ""=ROUND(26.12*$B$2,0)"", ""=ROUND(23.79*$B$2,0)"", ""=ROUND(28.55*$B$2,0)"", ""=ROUND(28.38*$B$2,0)"", ""=ROUND(27.64*$B$2,0)"", ""=ROUND(25.22*$B$2,0)"", ""=ROUND(23.53*$B$2,0)"", ""=ROUND(18.11*$B$2,0)"", ""=ROUND(22.92*$B$2,0)""]","[637908.0, 579320.0, 652359.0, 686251.0, 625035.0, 750094.0, 745628.0, 726186.0, 662605.0, 618204.0, 475804.0, 602177.0]"
1412000063,38.KDTVN トナー製造管理課　_MP FY2027_各予定(Ver01).xlsx,44,interest,,9114120007,Lãi suất đất 土地金利,26273.0,"[""=ROUND(3.08*$B$2,0)"", ""=ROUND(2.87*$B$2,0)"", ""=ROUND(3.24*$B$2,0)"", ""=ROUND(3.4*$B$2,0)"", ""=ROUND(3.1*$B$2,0)"", ""=ROUND(3.72*$B$2,0)"", ""=ROUND(3.7*$B$2,0)"", ""=ROUND(3.6*$B$2,0)"", ""=ROUND(3.29*$B$2,0)"", ""=ROUND(3.07*$B$2,0)"", ""=ROUND(2.36*$B$2,0)"", ""=ROUND(2.99*$B$2,0)""]","[80921.0, 75404.0, 85125.0, 89328.0, 81446.0, 97736.0, 97210.0, 94583.0, 86438.0, 80658.0, 62004.0, 78556.0]"
1412000066,39.KDTVN RPS製造課_MP FY2027_各予定(Ver01).xlsx,48,interest,,9114120007,固定資産金利 (建物+土地),26273.0,"[107746361, 101711716, 101711716, 101711716, 101711716, 101711716, 101711716, 101711716, 101711716, 101711716, 101711716, 101711716]","[107746361.0, 101711716.0, 101711716.0, 101711716.0, 101711716.0, 101711716.0, 101711716.0, 101711716.0, 101711716.0, 101711716.0, 101711716.0, 101711716.0]"
1412000066,39.KDTVN RPS製造課_MP FY2027_各予定(Ver01).xlsx,49,interest,,9114120007,固定資産金利 (建物+土地),26273.0,"[13661172, 13253940, 13253940, 13253940, 13253940, 13253940, 13253940, 13253940, 13253940, 13253940, 13253940, 13253940]","[13661172.0, 13253940.0, 13253940.0, 13253940.0, 13253940.0, 13253940.0, 13253940.0, 13253940.0, 13253940.0, 13253940.0, 13253940.0, 13253940.0]"
1412000016,42.KDTVN 生産技術1課_MP FY2027_各予定(Ver01).xlsx,49,interest,,9114120007,lãi nhà 固定資産金利（建物）,26273.0,"[""=ROUND(26273*313.02,0)"", ""=ROUND(26273*301.47,0)"", ""=ROUND(26273*301.73,0)"", ""=ROUND(26273*298.2,0)"", ""=ROUND(26273*297.8,0)"", ""=ROUND(26273*297.86,0)"", ""=ROUND(26273*298.03,0)"", ""=ROUND(26273*297.95,0)"", ""=ROUND(26273*297.82,0)"", ""=ROUND(26273*297.68,0)"", ""=ROUND(26273*297.21,0)"", ""=ROUND(26273*297.81,0)""]","[8223974.0, 7920521.0, 7927352.0, 7834609.0, 7824099.0, 7825676.0, 7830142.0, 7828040.0, 7824625.0, 7820947.0, 7808598.0, 7824362.0]"
1412000016,42.KDTVN 生産技術1課_MP FY2027_各予定(Ver01).xlsx,50,interest,,9114120007,lãi đất 固定資産金利（土地）,26273.0,"[""=ROUND(26273*39.69,0)"", ""=ROUND(26273*39.28,0)"", ""=ROUND(26273*39.32,0)"", ""=ROUND(26273*38.86,0)"", ""=ROUND(26273*38.81,0)"", ""=ROUND(26273*38.81,0)"", ""=ROUND(26273*38.84,0)"", ""=ROUND(26273*38.82,0)"", ""=ROUND(26273*38.81,0)"", ""=ROUND(26273*38.79,0)"", ""=ROUND(26273*38.73,0)"", ""=ROUND(26273*38.81,0)""]","[1042775.0, 1032003.0, 1033054.0, 1020969.0, 1019655.0, 1019655.0, 1020443.0, 1019918.0, 1019655.0, 1019130.0, 1017553.0, 1019655.0]"
