cc_code,period,headcount_staff,headcount_worker,headcount_male,headcount_female,description
1412000006,202603,0,0,,,
1412000006,202604,4,0,,,
1412000006,202605,3,0,,,
1412000006,202606,2,0,,,
1412000006,202607,5,0,,,
1412000006,202608,2,0,,,
1412000006,202609,2,0,,,
1412000006,202610,5,0,,,
1412000006,202611,4,0,,,
1412000006,202612,31,0,11,20,
1412000006,202701,2,0,,,
1412000006,202702,2,0,,,
1412000006,202703,3,0,,,
1412000040,202603,0,0,,,
1412000040,202604,0,0,,,
1412000040,202605,0,0,,,
1412000040,202606,0,0,,,
1412000040,202607,0,0,,,
1412000040,202608,0,0,,,
1412000040,202609,0,0,,,
1412000040,202610,0,0,,,
1412000040,202611,0,0,,,
1412000040,202612,31,0,21,10,
1412000040,202701,0,0,,,
1412000040,202702,0,0,,,
1412000040,202703,0,0,,,
